method,dataset,seed,k_used,n_pred,modularity,onmi,f1,note,error,secs
nfmcd_full,crisismmd,2,7,7,0.5122659845460196,0.6076187149920035,0.7379396383562477,,,2.92
nfmcd_full,crisismmd,1,7,7,0.5267513351527662,0.6290563695197424,0.506950028298826,,,3.0
nfmcd_full,crisismmd,0,7,7,0.5197824512523282,0.590905302529789,0.7572625076058666,,,3.12
nfmcd_full,pheme,0,9,9,0.8651647650342359,0.0,0.24983831226709954,,,4.36
nfmcd_full,fakeddit,0,10,10,0.28399931936023204,0.32404460142087477,0.26519627888330477,,,2.49
nfmcd_full,fakeddit,1,10,10,0.3173147611930934,0.3641407378164382,0.19635999725760228,,,2.52
nfmcd_full,dblp,0,8,8,0.8475776772909762,0.6702689982017619,0.7331002190599035,,,0.11
nfmcd_full,pheme,1,9,9,0.8570915188206584,0.0,0.26870436471210807,,,4.11
nfmcd_full,dblp,1,8,8,0.8475776772909762,0.6702689982017619,0.7331002190599035,,,0.09
nfmcd_full,amazon,0,4,4,0.7172353714661406,0.5535487568737809,0.7972215846095807,,,0.02
nfmcd_full,amazon,1,4,4,0.7172353714661406,0.5535487568737809,0.7972215846095806,,,0.0
nfmcd_full,amazon,2,4,4,0.7172353714661406,0.5535487568737809,0.7972215846095806,,,0.01
nfmcd_full,dblp,2,8,8,0.8475776772909762,0.6702689982017619,0.7331002190599034,,,0.11
nfmcd_full,fakeddit,2,10,10,0.29091205824468236,0.23679795396036396,0.29866808636115544,,,2.31
nfmcd_full,pheme,2,9,9,0.8543142336088391,0.015056576023737778,0.2816022363559687,,,5.72
nfmcd_scan_k,crisismmd,0,6,6,0.5288323046117571,0.5561594377367584,0.7031741907727905,scan-k=6,,2.81
nfmcd_scan_k,crisismmd,1,7,7,0.5267513351527662,0.6290563695197424,0.506950028298826,scan-k=7,,3.0
nfmcd_scan_k,crisismmd,2,6,6,0.5273547911937088,0.5577193976980979,0.7015498215474704,scan-k=6,,2.67
nfmcd_scan_k,fakeddit,0,11,11,0.31228765004673553,0.30287620109798286,0.19293594813842335,scan-k=11,,7.77
nfmcd_scan_k,pheme,1,10,10,0.8818467692705326,1.1102230246251565e-16,0.271742527297157,scan-k=10,,8.78
nfmcd_scan_k,pheme,0,10,10,0.8908287627965931,0.0,0.24640431283193406,scan-k=10,,10.78
nfmcd_scan_k,dblp,0,9,9,0.8520061285446824,0.6154674744113686,0.7125319101114824,scan-k=9,,0.17
nfmcd_scan_k,dblp,1,9,9,0.857334882984113,0.5791487451647007,0.6850438746932566,scan-k=9,,0.22
nfmcd_scan_k,dblp,2,9,9,0.8599132556312082,0.6623698676587152,0.8143278429754303,scan-k=9,,0.19
nfmcd_scan_k,amazon,0,5,5,0.7339513477975017,0.3570403076438595,0.6902355144956533,scan-k=5,,0.03
nfmcd_scan_k,amazon,1,5,5,0.7339513477975017,0.3570403076438595,0.6902355144956533,scan-k=5,,0.05
nfmcd_scan_k,amazon,2,5,5,0.7339513477975017,0.3570403076438595,0.6902355144956533,scan-k=5,,0.05
nfmcd_text_only,crisismmd,0,7,7,0.4308021593384174,0.6695765004200093,0.627371047128609,,,0.5
nfmcd_text_only,crisismmd,1,7,7,0.4312996005701706,0.6695765004200093,0.627371047128609,,,0.52
nfmcd_text_only,crisismmd,2,7,7,0.5160488807760552,0.552623314405471,0.7641284410519695,,,0.5
nfmcd_scan_k,pheme,2,8,8,0.8680336625968752,0.01324336641841306,0.2849770088000543,scan-k=8,,13.47
nfmcd_text_only,pheme,0,9,9,0.8651647650342359,0.0,0.24983831226709954,,,2.47
nfmcd_scan_k,fakeddit,1,10,10,0.3173147611930934,0.3641407378164382,0.19635999725760228,scan-k=10,,7.14
nfmcd_scan_k,fakeddit,2,9,9,0.34252864426443813,0.39718283028222934,0.26831891179717265,scan-k=9,,7.66
nfmcd_text_only,fakeddit,0,10,10,0.33995886666407477,0.7866012417133639,0.737143483446259,,,1.97
nfmcd_text_only,fakeddit,1,10,10,0.34188457700315805,0.7852356981062649,0.6427392440465782,,,1.49
nfmcd_text_only,pheme,1,9,9,0.8570915188206584,0.0,0.26870436471210807,,,4.73
nfmcd_image_only,crisismmd,0,7,7,0.43306348785124255,0.6747039582158036,0.6208439398066344,,,1.2
nfmcd_image_only,crisismmd,1,7,7,0.4289968744039543,0.6547473018941881,0.6235002342153632,,,1.05
nfmcd_text_only,fakeddit,2,10,10,0.3764638948486347,0.785803317656607,0.7379961614975823,,,2.19
nfmcd_image_only,crisismmd,2,7,7,0.42876777531353544,0.654215808641101,0.6231608992452689,,,0.98
nfmcd_image_only,fakeddit,0,10,10,0.33791322704237015,0.7720185176980454,0.6392003987011293,,,1.81
nfmcd_text_only,pheme,2,9,9,0.8543142336088391,0.015056576023737778,0.2816022363559687,,,7.11
nfmcd_image_only,fakeddit,1,10,10,0.37382970287765493,0.822286457962218,0.8323406676743718,,,1.83
nfmcd_alpha_0.5,crisismmd,0,7,7,0.3744415657374863,0.6632259773142936,0.6021579965662024,,,1.0
nfmcd_alpha_0.5,crisismmd,1,7,7,0.41602279962686467,0.681917049938922,0.6254190534356524,,,1.02
nfmcd_alpha_0.5,crisismmd,2,7,7,0.4516950257675813,0.6966519946884879,0.7013770628447437,,,0.95
nfmcd_alpha_0.5,pheme,1,9,9,0.48130075375868797,0.020941330119276458,0.09275704240221548,,,2.2
nfmcd_alpha_0.5,pheme,0,9,9,0.4942355030462212,0.016120636872825056,0.08092856045801307,,,2.48
nfmcd_alpha_0.5,pheme,2,9,9,0.49017697263814947,0.014860114471672015,0.07230916498082696,,,2.3
nfmcd_image_only,fakeddit,2,10,10,0.2992461304921437,0.7720185176980454,0.6392003987011292,,,6.56
nfmcd_structure_only,crisismmd,0,7,7,0.4831182712339944,0.5992508767181561,0.7111104559420166,,,0.05
nfmcd_structure_only,crisismmd,1,7,7,0.516106322896425,0.5491887431801526,0.7565386255900963,,,0.06
nfmcd_structure_only,crisismmd,2,7,7,0.4746867678666017,0.6195965477507328,0.7145139349324098,,,0.03
nfmcd_structure_only,pheme,0,9,9,0.8742463372024922,0.0,0.22212180670056972,,,0.34
nfmcd_alpha_0.5,fakeddit,0,10,10,0.29359760843708427,0.39390940751967973,0.34674430120092115,,,2.62
nfmcd_alpha_0.5,fakeddit,2,10,10,0.2891269618998251,0.3771011818147707,0.4067868639290374,,,2.48
nfmcd_structure_only,pheme,2,9,9,0.8801347542443367,0.012861962632682689,0.2427673924662868,,,0.25
nfmcd_structure_only,fakeddit,0,10,10,0.37338005725352347,0.8175660382680203,0.8302133349413312,,,0.17
nfmcd_alpha_0.5,fakeddit,1,10,10,0.31304716182409237,0.4111103131392748,0.3274183064752696,,,2.69
nfmcd_structure_only,pheme,1,9,9,0.8821977286628049,0.0,0.25040085918184823,,,0.39
nfmcd_structure_only,dblp,0,8,8,0.8475776772909762,0.6702689982017619,0.7331002190599035,,,0.08
