variant,dataset,graph,seed,k_used,modularity,onmi,f1,error,secs
default,crisismmd,orig,1,7,0.5267513351527662,0.6290563695197424,0.506950028298826,,3.06
default,crisismmd,orig,0,7,0.5197824512523282,0.590905302529789,0.7572625076058666,,3.09
default,crisismmd,orig,2,7,0.5122659845460196,0.6076187149920035,0.7379396383562477,,3.09
default,pheme,orig,0,9,0.8651647650342359,0.0,0.24983831226709954,,4.45
default,fakeddit,orig,0,10,0.28399931936023204,0.32404460142087477,0.26519627888330477,,2.33
default,fakeddit,orig,1,10,0.3173147611930934,0.3641407378164382,0.19635999725760228,,2.81
default,pheme,orig,1,9,0.8570915188206584,0.0,0.26870436471210807,,4.31
default,dblp,orig,0,8,0.8475776772909762,0.6702689982017619,0.7331002190599035,,0.09
default,dblp,orig,2,8,0.8475776772909762,0.6702689982017619,0.7331002190599034,,0.08
default,amazon,orig,0,4,0.7172353714661406,0.5535487568737809,0.7972215846095807,,0.02
default,dblp,orig,1,8,0.8475776772909762,0.6702689982017619,0.7331002190599035,,0.11
default,amazon,orig,1,4,0.7172353714661406,0.5535487568737809,0.7972215846095806,,0.02
default,amazon,orig,2,4,0.7172353714661406,0.5535487568737809,0.7972215846095806,,0.02
default,fakeddit,orig,2,10,0.29091205824468236,0.23679795396036396,0.29866808636115544,,2.5
cons_a60,crisismmd,orig,0,7,0.39708171018203625,0.7391726388254855,0.6429789916487884,,0.89
cons_a60,crisismmd,orig,1,7,0.43721528131096554,0.6819777004957389,0.6918613074225272,,1.03
cons_a60,crisismmd,orig,2,7,0.39094188802836344,0.7105223168416449,0.642628750218036,,0.95
default,pheme,orig,2,9,0.8543142336088391,0.015056576023737778,0.2816022363559687,,5.8
cons_a60,fakeddit,orig,0,10,0.3451883114931042,0.6215234478566187,0.5519668049378946,,2.56
cons_a60,pheme,orig,0,9,0.6259832100082584,0.01341905215874839,0.10915085284674629,,4.14
cons_a60,fakeddit,orig,1,10,0.3193838948759001,0.7886307091897204,0.645100897131993,,2.64
cons_a60,dblp,orig,0,8,0.8475776772909762,0.6702689982017619,0.7331002190599035,,0.09
cons_a60,dblp,orig,1,8,0.8475776772909762,0.6702689982017619,0.7331002190599035,,0.12
cons_a60,dblp,orig,2,8,0.8475776772909762,0.6702689982017619,0.7331002190599034,,0.11
cons_a60,amazon,orig,0,4,0.7172353714661406,0.5535487568737809,0.7972215846095807,,0.02
cons_a60,amazon,orig,1,4,0.7172353714661406,0.5535487568737809,0.7972215846095806,,0.02
cons_a60,amazon,orig,2,4,0.7172353714661406,0.5535487568737809,0.7972215846095806,,0.02
cons_a60,fakeddit,orig,2,10,0.34874273424023255,0.735173889686755,0.6887644879965489,,2.33
cons_a50,crisismmd,orig,0,7,0.39212551785242944,0.7301706822380154,0.6407776933341596,,1.09
cons_a50,crisismmd,orig,1,7,0.4528154818103229,0.6854722492060666,0.6921308319907572,,1.17
cons_a50,crisismmd,orig,2,7,0.4041336822478453,0.7299191114766418,0.6394748722237538,,0.88
cons_a60,pheme,orig,1,9,0.4902414405887266,0.019978479016791395,0.10883530421624427,,8.28
cons_a60,pheme,orig,2,9,0.49845291671006325,0.012244205612783499,0.0728396681035431,,10.05
cons_a50,fakeddit,orig,0,10,0.2999833490301224,0.756490595352447,0.6988676555276931,,2.64
cons_a50,pheme,orig,0,9,0.7520518363629336,0.0,0.19166656227710455,,6.53
cons_a50,pheme,orig,2,9,0.6974169447738324,0.026431817666858315,0.15627329177285842,,6.02
cons_a50,dblp,orig,0,8,0.8475776772909762,0.6702689982017619,0.7331002190599035,,0.09
cons_a50,dblp,orig,1,8,0.8475776772909762,0.6702689982017619,0.7331002190599035,,0.06
cons_a50,dblp,orig,2,8,0.8475776772909762,0.6702689982017619,0.7331002190599034,,0.09
cons_a50,amazon,orig,0,4,0.7172353714661406,0.5535487568737809,0.7972215846095807,,0.02
cons_a50,amazon,orig,1,4,0.7172353714661406,0.5535487568737809,0.7972215846095806,,0.02
cons_a50,amazon,orig,2,4,0.7172353714661406,0.5535487568737809,0.7972215846095806,,0.02
cons_a50,fakeddit,orig,1,10,0.35420606856312364,0.75324097502105,0.6974887744547424,,2.53
blend_a60,crisismmd,orig,0,7,0.34680816143336035,0.6539188508296636,0.5895166933456324,,1.0
cons_a50,pheme,orig,1,9,0.6309645025006778,0.007012119466094591,0.11752390820658198,,7.69
cons_a50,fakeddit,orig,2,10,0.34739890324906747,0.6958618696731166,0.6528737404077611,,2.34
blend_a60,crisismmd,orig,1,7,0.347534325223061,0.6578824015103835,0.5849910263660074,,0.92
blend_a60,crisismmd,orig,2,7,0.4037428833794006,0.737431682781873,0.6406006063269063,,0.91
blend_a60,fakeddit,orig,0,10,0.3348116414932919,0.6191896536514986,0.5577600021211337,,2.59
blend_a60,fakeddit,orig,1,10,0.3375922413436855,0.5270405556764066,0.4176827558999598,,2.42
blend_a60,pheme,orig,1,9,0.7712032434017716,0.0,0.18335644890838843,,6.62
blend_a60,dblp,orig,0,8,0.8475776772909762,0.6702689982017619,0.7331002190599035,,0.06
blend_a60,dblp,orig,1,8,0.8475776772909762,0.6702689982017619,0.7331002190599035,,0.06
blend_a60,dblp,orig,2,8,0.8475776772909762,0.6702689982017619,0.7331002190599034,,0.11
blend_a60,amazon,orig,0,4,0.7172353714661406,0.5535487568737809,0.7972215846095807,,0.03
blend_a60,amazon,orig,1,4,0.7172353714661406,0.5535487568737809,0.7972215846095806,,0.02
blend_a60,amazon,orig,2,4,0.7172353714661406,0.5535487568737809,0.7972215846095806,,0.03
blend_a60,fakeddit,orig,2,10,0.4047320663821129,0.475280640936804,0.39091244746883824,,2.49
